"Timestamp","PageID"
10,42
19,36
29,29
42,53
50,62
62,55
68,82
76,10
90,85
96,61
104,84
113,37
126,40
139,26
150,74
165,51
175,39
181,46
191,86
198,43
212,47
224,85
238,89
243,62
252,26
260,42
269,77
283,22
297,89
306,53
307,51
323,48
332,93
340,25
346,51
354,19
362,38
379,49
396,54
408,54
418,50
427,35
438,62
446,69
456,69
463,63
466,21
472,52
485,16
493,50
501,60
510,55
514,21
526,51
536,63
549,31
560,88
573,98
588,1
599,35
607,77
619,46
633,78
643,81
654,50
665,61
673,42
685,61
690,36
702,57
712,23
728,35
737,16
745,65
762,27
772,34
783,18
791,57
802,17
812,39
816,67
830,62
836,43
847,18
855,44
863,38
874,58
888,69
896,51
908,100
919,68
933,53
946,31
952,51
962,53
982,32
986,45
997,86
1002,59
1011,34
1022,69
1032,49
1042,39
1054,70
1062,74
1075,44
1087,48
1093,68
1099,40
1104,55
1106,56
1118,22
1131,23
1140,62
1148,60
1159,57
1170,69
1179,18
1192,49
1204,54
1218,73
1224,46
1236,93
1243,64
1258,51
1270,5
1277,57
1285,21
1291,70
1300,37
1309,61
1317,38
1321,50
1326,17
1331,35
1343,49
1351,30
1364,41
1374,59
1387,78
1396,56
1405,22
1417,24
1429,29
1439,44
1452,67
1458,40
1469,41
1479,55
1486,37
1496,40
1506,59
1515,27
1524,11
1532,63
1545,67
1553,61
1567,40
1575,65
1582,42
1591,40
1597,41
1604,47
1612,23
1627,37
1640,52
1654,28
1668,41
1677,56
1683,1
1693,74
1704,27
1712,48
1723,43
1729,65
1743,20
1752,54
1760,53
1764,42
1773,63
1779,60
1789,75
1798,52
1812,1
1818,36
1832,43
1843,58
1849,66
1856,38
1863,58
1872,59
1880,53
1890,51
1899,50
1913,61
1923,43
1935,64
1944,71
1954,67
1963,32
1970,63
1981,56
1988,39
1997,81
2006,30
2016,4
2030,31
2040,49
2052,62
2062,50
2071,49
2078,72
2084,55
2093,53
2105,64
2117,41
2123,34
2132,58
2135,44
2147,17
2161,52
2174,66
2186,40
2200,29
2215,68
2227,18
2241,52
2248,43
2262,40
2274,31
2283,64
2290,54
2306,89
2319,70
2326,50
2338,41
2346,64
2357,56
2363,45
2369,44
2379,51
2392,40
2403,82
2416,8
2426,37
2438,84
2444,48
2454,64
2461,46
2471,35
