"Timestamp","PageID"
9,1
20,1
26,3
34,6
48,7
57,2
69,4
78,2
89,3
99,7
109,8
121,5
130,1
134,5
146,6
156,1
166,7
177,4
186,3
198,4
208,3
219,1
231,1
242,4
249,3
261,3
279,5
287,7
304,1
313,3
326,3
336,3
355,3
371,3
381,5
390,7
400,3
411,3
428,4
439,3
446,7
458,4
469,1
479,6
492,3
505,3
518,2
528,5
541,3
547,4
557,2
569,8
579,1
588,5
598,4
606,5
615,4
624,3
634,2
647,6
657,3
671,1
683,3
696,2
707,4
718,6
723,3
732,1
738,3
743,5
756,2
762,1
775,3
785,8
796,8
803,1
808,2
825,3
838,8
851,1
860,3
864,1
869,3
879,2
886,7
894,2
901,8
914,3
928,1
943,5
949,6
963,2
969,7
984,7
995,5
1003,8
1009,7
1019,3
1029,8
1038,8
