policy,capacity,hitRatio
2Lists,10,0.162000
2Lists,20,0.363000
2Lists,25,0.443000
2Lists,40,0.720000
2Lists,5,0.071000
2Lists,50,0.920000
Clock,10,0.207000
Clock,20,0.381000
Clock,25,0.478000
Clock,40,0.764000
Clock,5,0.100000
Clock,50,0.950000
LFU,10,0.203000
LFU,20,0.400000
LFU,25,0.494000
LFU,40,0.773000
LFU,5,0.108000
LFU,50,0.950000
LRU,10,0.203000
LRU,20,0.376000
LRU,25,0.470000
LRU,40,0.756000
LRU,5,0.098000
LRU,50,0.950000
belady,10,0.479000
belady,20,0.676000
belady,25,0.742000
belady,40,0.896000
belady,5,0.315000
belady,50,0.950000
