policy,capacity,hitRatio
2Lists,10,0.593000
2Lists,20,0.764000
2Lists,25,0.798000
2Lists,40,0.903000
2Lists,5,0.188000
2Lists,50,0.947000
Clock,10,0.626000
Clock,20,0.756000
Clock,25,0.808000
Clock,40,0.907000
Clock,5,0.328000
Clock,50,0.950000
LFU,10,0.546000
LFU,20,0.770000
LFU,25,0.823000
LFU,40,0.921000
LFU,5,0.230000
LFU,50,0.950000
LRU,10,0.631000
LRU,20,0.759000
LRU,25,0.818000
LRU,40,0.909000
LRU,5,0.337000
LRU,50,0.950000
belady,10,0.777000
belady,20,0.873000
belady,25,0.895000
belady,40,0.940000
belady,5,0.552000
belady,50,0.950000
