policy,capacity,hitRatio
2Lists,10,0.356000
2Lists,20,0.533000
2Lists,25,0.601000
2Lists,40,0.803000
2Lists,5,0.189000
2Lists,50,0.930000
Clock,10,0.321000
Clock,20,0.518000
Clock,25,0.597000
Clock,40,0.822000
Clock,5,0.193000
Clock,50,0.950000
LFU,10,0.382000
LFU,20,0.579000
LFU,25,0.660000
LFU,40,0.835000
LFU,5,0.291000
LFU,50,0.950000
LRU,10,0.331000
LRU,20,0.525000
LRU,25,0.613000
LRU,40,0.825000
LRU,5,0.195000
LRU,50,0.950000
belady,10,0.581000
belady,20,0.758000
belady,25,0.812000
belady,40,0.914000
belady,5,0.419000
belady,50,0.950000
