timestamp,page,status
1,23,MISS
2,44,MISS
3,20,MISS
4,33,MISS
5,4,MISS
6,44,HIT
7,27,MISS
8,27,HIT
9,47,MISS
10,33,HIT
11,31,MISS
12,46,MISS
13,22,MISS
14,23,HIT
15,15,MISS
16,24,MISS
17,14,MISS
18,13,MISS
19,23,HIT
20,15,HIT
21,1,MISS
22,42,MISS
23,9,MISS
24,21,MISS
25,13,HIT
26,31,MISS
27,33,MISS
28,4,MISS
29,21,HIT
30,34,MISS
31,25,MISS
32,41,MISS
33,35,MISS
34,32,MISS
35,2,MISS
36,25,HIT
37,15,MISS
38,36,MISS
39,45,MISS
40,5,MISS
41,38,MISS
42,47,MISS
43,37,MISS
44,32,HIT
45,14,MISS
46,38,HIT
47,18,MISS
48,38,HIT
49,3,MISS
50,23,MISS
51,16,MISS
52,3,HIT
53,11,MISS
54,33,MISS
55,33,HIT
56,20,MISS
57,15,MISS
58,19,MISS
59,47,MISS
60,14,MISS
61,29,MISS
62,35,MISS
63,22,MISS
64,7,MISS
65,19,HIT
66,33,HIT
67,15,HIT
68,20,HIT
69,8,MISS
70,9,MISS
71,16,MISS
72,34,MISS
73,41,MISS
74,15,HIT
75,27,MISS
76,14,MISS
77,34,HIT
78,37,MISS
79,26,MISS
80,21,MISS
81,13,MISS
82,50,MISS
83,50,HIT
84,5,MISS
85,28,MISS
86,7,MISS
87,1,MISS
88,15,MISS
89,23,MISS
90,18,MISS
91,27,MISS
92,37,MISS
93,2,MISS
94,15,HIT
95,48,MISS
96,46,MISS
97,21,MISS
98,7,MISS
99,18,HIT
100,31,MISS
101,46,HIT
102,18,HIT
103,2,HIT
104,28,MISS
105,47,MISS
106,33,MISS
107,27,MISS
108,9,MISS
109,3,MISS
110,24,MISS
111,36,MISS
112,27,HIT
113,16,MISS
114,39,MISS
115,48,MISS
116,15,MISS
117,3,HIT
118,33,HIT
119,39,HIT
120,5,MISS
121,49,MISS
122,5,HIT
123,43,MISS
124,11,MISS
125,13,MISS
126,47,MISS
127,14,MISS
128,26,MISS
129,8,MISS
130,46,MISS
131,44,MISS
132,18,MISS
133,29,MISS
134,12,MISS
135,5,MISS
136,37,MISS
137,6,MISS
138,45,MISS
139,2,MISS
140,33,MISS
141,35,MISS
142,17,MISS
143,25,MISS
144,36,MISS
145,50,MISS
146,2,HIT
147,33,HIT
148,13,MISS
149,1,MISS
150,38,MISS
151,4,MISS
152,42,MISS
153,33,HIT
154,25,HIT
155,6,MISS
156,26,MISS
157,43,MISS
158,7,MISS
159,19,MISS
160,20,MISS
161,21,MISS
162,36,MISS
163,33,HIT
164,38,MISS
165,27,MISS
166,43,HIT
167,44,MISS
