timestamp,page,status
6,27,MISS
8,32,MISS
16,33,MISS
22,10,MISS
25,6,MISS
31,2,MISS
32,7,MISS
34,47,MISS
40,28,MISS
46,35,MISS
49,35,HIT
52,13,MISS
53,33,HIT
56,29,MISS
59,14,MISS
63,49,MISS
68,20,MISS
69,18,MISS
71,29,MISS
77,29,HIT
77,29,HIT
81,3,MISS
86,16,MISS
90,41,MISS
97,44,MISS
99,5,MISS
103,33,HIT
106,29,HIT
111,7,MISS
113,26,MISS
116,47,MISS
118,40,MISS
121,3,MISS
123,34,MISS
125,30,MISS
131,35,HIT
133,1,MISS
136,1,HIT
140,8,MISS
143,26,MISS
144,29,HIT
144,50,MISS
147,29,HIT
151,7,MISS
154,42,MISS
158,6,MISS
160,7,MISS
163,29,HIT
165,15,MISS
169,50,MISS
173,42,MISS
176,30,MISS
178,33,HIT
179,29,HIT
179,48,MISS
182,21,MISS
186,16,MISS
187,24,MISS
189,4,MISS
189,16,MISS
191,2,MISS
192,2,HIT
199,3,MISS
201,26,MISS
203,43,MISS
206,22,MISS
206,16,MISS
207,14,MISS
212,27,MISS
216,38,MISS
217,7,MISS
219,3,MISS
220,48,MISS
224,8,MISS
229,4,MISS
230,35,HIT
235,36,MISS
237,48,MISS
239,50,MISS
243,45,MISS
247,29,HIT
247,50,MISS
249,35,HIT
251,37,MISS
254,10,MISS
255,26,MISS
255,49,MISS
258,3,MISS
262,50,MISS
266,48,MISS
267,29,HIT
270,35,HIT
272,29,HIT
279,12,MISS
285,45,MISS
285,29,HIT
286,43,MISS
286,12,MISS
288,37,MISS
288,35,HIT
291,33,HIT
294,18,MISS
301,33,HIT
303,3,MISS
304,12,MISS
309,26,MISS
311,29,HIT
315,2,MISS
320,26,MISS
321,26,HIT
326,7,MISS
329,37,MISS
329,5,MISS
333,26,MISS
337,34,MISS
340,38,MISS
345,16,MISS
350,7,MISS
352,3,MISS
355,26,MISS
357,13,MISS
362,16,MISS
368,29,HIT
378,5,MISS
380,45,MISS
382,7,MISS
384,6,MISS
387,26,MISS
387,16,MISS
392,3,MISS
393,47,MISS
393,21,MISS
